MARKAO COSMETICOS                                                                                                   Qua    0001/0001
Gestao Comercial                                     ++ RELATORIO FINANCEIRO DO ESTOQUE ++                          22/04/2015 16:52
----------------------------------------------------------------------------------------------------------------------------ESTOQF--

----------------------------------------------------------------------------------------------------------------------------
 FILIAL:   3   NOME: MARKAO 3 NILOPOLIS                   Saldo em 22/04/2015
------------------------------------------+---------+-----------------------------------------------------------------------
      D  E  S  C  R  I  C  A  O           | Codigo  | Qt.Item   Qt.Vol     VLR CUSTO     VLR VENDA    PRC PRAT.    PRC CUSTO
ACQUAFLORA HID.S/ENX.240ML FORMA          | 073830  |       1       17        241,74        373,83       373,83        14,22
ACQUAFLORA HID.S/ENX.240ML INTENSIVO      | 056072  |       1       14        199,08        307,86       307,86        14,22
ACQUAFLORA HID.S/ENX.240ML NUT.CELULAR    | 056129  |       1       15        213,30        329,85       329,85        14,22
ACQUAFLORA HID.S/ENX.240ML POS COLORACAO  | 188769  |       1        8        113,76        175,92       175,92        14,22
ACQUAFLORA HID.S/ENX.240ML RECONSTRUTOR   | 056102  |       1       12        170,64        263,88       263,88        14,22
ACQUAFLORA HID.S/ENX.240ML REEQUI.ESTRUT  | 073821  |       1        8        113,76        175,92       175,92        14,22
ACQUAFLORA KIT SELANTE VEGETAL            | 154864  |       1        1         40,72         62,00        62,00        40,72
ACQUAFLORA LEITE DE ARGAN 12ML            | 133913  |       1       10         67,40        125,00       125,00         6,74
ACQUAFLORA MASC.HID.250G ANTIOXIDANTE     | 073848  |       1       15        223,50        352,50       352,50        14,90
ACQUAFLORA MASC.HID.250G CONT.VOLUME      | 056250  |       1        6         89,40        141,00       141,00        14,90
ACQUAFLORA MASC.HID.250G EFEITO.LISO      | 056234  |       1       17        253,30        399,50       399,50        14,90
ACQUAFLORA MASC.HID.250G ELIXIR           | 129967  |       1       11        171,38        258,50       258,50        15,58
ACQUAFLORA MASC.HID.250G INTENSIVA        | 056188  |       1       20        298,00        470,00       470,00        14,90
ACQUAFLORA MASC.HID.250G NUT.CELULAR      | 056196  |       1       22        327,80        517,00       517,00        14,90
ACQUAFLORA MASC.HID.250G POS COLORACAO    | 188750  |       1       10        155,80        235,00       235,00        15,58
ACQUAFLORA MASC.HID.250G RECONSTRUTORA    | 056218  |       1        1         14,90         23,50        23,50        14,90
ACQUAFLORA MASC.HID.250G REE.ESTRUTURAL   | 097216  |       1       31        482,98        728,50       728,50        15,58
ACQUAFLORA REPARADOR ELIXIR 60ML          | 122482  |       1       15        233,70        374,85       374,85        15,58
ACQUAFLORA SERUM TERMO ATIV. 60ML         | 056315  |       1       29        412,38        623,50       623,50        14,22
ACQUAFLORA SH.240ML POS COLORACAO         | 188777  |       1        6         97,56        156,00       156,00        16,26
ACQUAFLORA SH.240ML S.O.S                 | 206015  |       1        9        146,34        233,91       233,91        16,26
ACQUAFLORA SH.300ML ANT.OX.NOR/MISTOS     | 073716  |       1       17        207,06        373,83       373,83        12,18
ACQUAFLORA SH.300ML ANT.OX.SEC/DANIFIC    | 073708  |       1       10        121,80        219,90       219,90        12,18
ACQUAFLORA SH.300ML EFEITO LISO           | 055939  |       1        7         94,78        153,93       153,93        13,54
ACQUAFLORA SH.300ML EQ.OLEO.NOR/MISTO     | 073643  |       1       13        158,34        285,87       285,87        12,18
ACQUAFLORA SH.300ML EQ.OLEO.SEC/DANIF     | 073651  |       1        5         60,90        109,95       109,95        12,18
ACQUAFLORA SH.300ML EQ.QUEDA NOR/MISTO    | 081506  |       1       12        162,48        263,88       263,88        13,54
ACQUAFLORA SH.300ML EQ.RESIDUOS           | 081450  |       1       17        207,06        373,83       373,83        12,18
ACQUAFLORA SH.300ML FORMA                 | 073660  |       1        6         77,16        131,94       131,94        12,86
ACQUAFLORA SH.300ML HIDRAT.INTENSIVA      | 055840  |       1       19        244,34        417,81       417,81        12,86
ACQUAFLORA SH.300ML LIGHT                 | 097232  |       1        7         90,02        153,93       153,93        12,86
ACQUAFLORA SH.300ML NUT.CELULAR           | 055904  |       1       20        257,20        439,80       439,80        12,86
ACQUAFLORA SH.300ML POS PROGRESSIVA       | 217670  |       1        7        113,82        182,00       182,00        16,26
ACQUAFLORA SH.300ML RECONSTRUTOR          | 055866  |       1       21        270,06        461,79       461,79        12,86
ACQUAFLORA SH.300ML REEQ.ESTRUTURAL       | 073678  |       1       24        324,96        527,76       527,76        13,54
